id,name,category,price,mrp,emoji
amul_milk_1l,Amul Taaza T-Special Milk 1L,"Dairy, Bread & Eggs",72,75,🥛
amul_butter_100g,Amul Pasteurised Salted Butter 100g,"Dairy, Bread & Eggs",60,62,🧈
harvest_bread_white,Harvest Gold White Bread 400g,"Dairy, Bread & Eggs",40,40,🍞
harvest_brown_bread,Harvest Gold 100% Whole Wheat Brown Bread 400g,"Dairy, Bread & Eggs",50,50,🍞
eggoz_white_6,Eggoz Farm Fresh White Eggs (6 pcs),"Dairy, Bread & Eggs",65,70,🥚
eggoz_brown_10,Eggoz Organic Brown Eggs (10 pcs),"Dairy, Bread & Eggs",135,150,🥚
epigamia_greek_yogurt,Epigamia Greek Yogurt Mango 100g,"Dairy, Bread & Eggs",60,65,🥭
mother_dairy_paneer,Mother Dairy Fresh Paneer 200g,"Dairy, Bread & Eggs",92,95,🧀
fresh_avocado_2,Fresh Imported Hass Avocado (2 pcs),Fruits & Vegetables,299,350,🥑
fresh_tomatoes_500g,Fresh Hybrid Tomatoes 500g,Fruits & Vegetables,28,35,🍅
fresh_onions_1kg,Fresh Red Onions 1kg,Fruits & Vegetables,42,50,🧅
fresh_potatoes_1kg,Fresh New Crop Potatoes 1kg,Fruits & Vegetables,38,45,🥔
fresh_bananas_6,Fresh Robusta Bananas (6 pcs),Fruits & Vegetables,45,50,🍌
fresh_apples_4,Fresh Royal Gala Apples (4 pcs),Fruits & Vegetables,180,220,🍎
fresh_coriander,Fresh Green Coriander Bunch 100g,Fruits & Vegetables,15,20,🌿
fresh_lemon_200g,Fresh Juicy Yellow Lemons (200g),Fruits & Vegetables,35,40,🍋
aashirvaad_atta_5kg,Aashirvaad Shuddh Chakki Atta 5kg,Grocery & Staples,245,270,🌾
fortune_sunflower_oil,Fortune Sunlite Sunflower Oil 1L,Grocery & Staples,145,160,🛢️
daawat_basmati_rice,Daawat Rozana Super Basmati Rice 5kg,Grocery & Staples,380,450,🍚
tata_sampann_toor_dal,Tata Sampann Unpolished Toor Dal 1kg,Grocery & Staples,175,195,🍲
tata_salt_1kg,Tata Salt Vacuum Evaporated Iodized Salt 1kg,Grocery & Staples,28,28,🧂
catch_turmeric_powder,Catch Turmeric Powder (Haldi) 200g,Grocery & Staples,52,58,🟡
mdh_deggi_mirch,MDH Deggi Mirch Red Chilli Powder 100g,Grocery & Staples,88,95,🌶️
doritos_nacho_150g,Doritos Nacho Cheese Chips 150g,Munchies & Snacks,60,60,🧀
lays_magic_masala,Lay's India's Magic Masala Chips 50g,Munchies & Snacks,20,20,🥔
haldiram_bhujia_400g,Haldiram's Plain Bhujia Sev 400g,Munchies & Snacks,120,130,🥨
act2_popcorn_butter,Act II Instant Butter Popcorn 150g,Munchies & Snacks,50,55,🍿
kurkure_masala_munch,Kurkure Masala Munch Crunchy Snack 90g,Munchies & Snacks,20,20,🔥
pringles_sour_cream,Pringles Sour Cream & Onion Potato Chips 107g,Munchies & Snacks,115,135,🥫
red_bull_250ml,Red Bull Energy Drink 250ml,Beverages & Cold Drinks,125,125,⚡
coke_zero_300ml,Coca-Cola Zero Sugar 300ml Can,Beverages & Cold Drinks,40,40,🥤
thums_up_750ml,Thums Up Soft Drink 750ml Bottle,Beverages & Cold Drinks,40,40,🍾
real_mixed_fruit,Real Fruit Power Mixed Fruit Juice 1L,Beverages & Cold Drinks,110,130,🧃
bisleri_water_5l,Bisleri Packaged Drinking Water Jar 5L,Beverages & Cold Drinks,70,75,💧
blue_tokai_dark_roast,Blue Tokai Dark Roast Coffee Beans 250g,"Tea, Coffee & Health Drinks",490,550,☕
nescafe_classic_100g,Nescafe Classic Instant Coffee Powder 100g,"Tea, Coffee & Health Drinks",340,375,☕
tata_tea_gold_500g,Tata Tea Gold Premium Black Tea 500g,"Tea, Coffee & Health Drinks",310,350,🍃
tetley_green_tea,Tetley Green Tea Lemon & Honey (25 Bags),"Tea, Coffee & Health Drinks",180,210,🍵
bournvita_500g,Cadbury Bournvita Chocolate Health Drink 500g,"Tea, Coffee & Health Drinks",240,265,🍫
maggi_2min_noodles,Maggi 2-Minute Masala Instant Noodles (4 Pack),Instant & Frozen Food,56,60,🍜
quaker_oats_1kg,Quaker Rolled Whole Oats 1kg,Instant & Frozen Food,190,225,🥣
mccain_french_fries,McCain Crispy French Fries 420g,Instant & Frozen Food,125,140,🍟
kellogg_corn_flakes,Kellogg's Real Almond & Honey Corn Flakes 300g,Instant & Frozen Food,210,235,🥣
yippee_noodles_pack,Sunfeast YiPPee! Magic Masala Noodles (4 Pack),Instant & Frozen Food,52,56,🍜
cadbury_silk_150g,Cadbury Dairy Milk Silk Chocolate 150g,"Sweet Tooth, Chocolates & Bakery",175,180,🍫
nutella_spread_350g,Nutella Hazelnut Cocoa Spread 350g,"Sweet Tooth, Chocolates & Bakery",395,420,🍫
ferrero_rocher_16,Ferrero Rocher Premium Chocolates (16 Pack),"Sweet Tooth, Chocolates & Bakery",625,699,🍬
kwality_vanilla_brick,Kwality Wall's Vanilla Ice Cream Tub 700ml,"Sweet Tooth, Chocolates & Bakery",160,180,🍨
derma_co_sunscreen,The Derma Co 1% Hyaluronic Sunscreen Aqua Gel 50g,Beauty & Cosmetics,449,499,☀️
minimalist_vit_c,Minimalist 10% Vitamin C Face Serum 30ml,Beauty & Cosmetics,664,699,🧴
garnier_micellar_water,Garnier Skin Naturals Micellar Cleansing Water 125ml,Beauty & Cosmetics,199,225,🧼
maybelline_mascara,Maybelline New York Hypercurl Waterproof Mascara,Beauty & Cosmetics,349,399,💄
cetaphil_cleanser_125ml,Cetaphil Gentle Skin Cleanser 125ml,"Bath, Body & Personal Care",335,375,🧴
